Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,4.110000,4.250000,4.100000,4.230000,3.430045,3151500
2014-05-01,4.130000,4.200000,4.070000,4.160000,3.373283,1960500
2014-05-02,4.140000,4.210000,4.110000,4.200000,3.405718,2258800
2014-05-05,4.250000,4.260000,4.140000,4.210000,3.413827,2041300
2014-05-06,4.230000,4.240000,4.100000,4.140000,3.357065,1550600
2014-05-07,4.130000,4.150000,4.040000,4.050000,3.284086,2557500
2014-05-08,4.050000,4.140000,4.030000,4.100000,3.324629,3162500
2014-05-09,4.030000,4.050000,3.950000,3.970000,3.219214,1992900
2014-05-12,3.980000,4.030000,3.940000,3.990000,3.235432,2229800
2014-05-13,3.960000,3.990000,3.920000,3.920000,3.178670,1609600
2014-05-14,3.960000,3.990000,3.920000,3.930000,3.186779,1676700
2014-05-15,3.930000,3.970000,3.900000,3.930000,3.186779,1365100
2014-05-16,3.940000,3.980000,3.900000,3.900000,3.162452,1653900
2014-05-19,4.000000,4.040000,3.970000,3.970000,3.219214,1655600
2014-05-20,3.930000,3.960000,3.870000,3.890000,3.154344,1479600
2014-05-21,3.930000,3.960000,3.900000,3.910000,3.170562,1351400
2014-05-22,3.960000,4.000000,3.900000,3.900000,3.162452,1888600
2014-05-23,3.890000,3.940000,3.840000,3.910000,3.170562,2136700
2014-05-27,3.810000,3.810000,3.630000,3.640000,2.951622,4028000
2014-05-28,3.610000,3.640000,3.490000,3.530000,2.862425,3536900
2014-05-29,3.480000,3.540000,3.450000,3.510000,2.846207,2056400
2014-05-30,3.510000,3.540000,3.460000,3.540000,2.870533,3229100
2014-06-02,3.480000,3.540000,3.460000,3.500000,2.838098,1656400
2014-06-03,3.540000,3.560000,3.470000,3.480000,2.821881,2453900
2014-06-04,3.500000,3.550000,3.470000,3.470000,2.813772,1576800
2014-06-05,3.500000,3.560000,3.480000,3.530000,2.862425,1792300
2014-06-06,3.540000,3.590000,3.510000,3.590000,2.911078,1124900
2014-06-09,3.570000,3.640000,3.550000,3.570000,2.894860,1031800
2014-06-10,3.620000,3.670000,3.620000,3.640000,2.951622,1762200
2014-06-11,3.640000,3.670000,3.560000,3.640000,2.951622,1822200
2014-06-12,3.580000,3.630000,3.560000,3.610000,2.927295,3773500
2014-06-13,3.590000,3.640000,3.550000,3.620000,2.935405,2671700
2014-06-16,3.620000,3.640000,3.530000,3.540000,2.870533,2327800
2014-06-17,3.540000,3.590000,3.520000,3.580000,2.902969,1835700
2014-06-18,3.610000,3.650000,3.530000,3.650000,2.959731,2936900
2014-06-19,3.700000,3.840000,3.670000,3.840000,3.113800,7176900
2014-06-20,3.810000,3.850000,3.680000,3.760000,3.048928,4714200
2014-06-23,3.750000,3.800000,3.700000,3.750000,3.040820,4482800
2014-06-24,3.790000,3.800000,3.580000,3.590000,2.911078,5103700
2014-06-25,3.640000,3.690000,3.620000,3.650000,2.959731,5012900
