Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,1.135000,1.170000,1.130000,1.170000,0.955518,1761242
2014-05-01,1.155000,1.160000,1.120000,1.130000,0.922851,1687816
2014-05-02,1.105000,1.115000,1.077000,1.100000,0.898350,4239233
2014-05-05,1.130000,1.155000,1.125000,1.155000,0.943268,2419268
2014-05-06,1.165000,1.170000,1.132000,1.145000,0.935101,1338543
2014-05-07,1.160000,1.170000,1.150000,1.160000,0.947352,2417478
2014-05-08,1.125000,1.130000,1.105000,1.120000,0.914684,1937269
2014-05-09,1.110000,1.125000,1.087000,1.120000,0.914684,1524252
2014-05-12,1.120000,1.130000,1.090000,1.115000,0.910601,1612171
2014-05-13,1.150000,1.205000,1.150000,1.200000,0.980019,4453924
2014-05-14,1.215000,1.225000,1.170000,1.175000,0.959602,3218325
2014-05-15,1.190000,1.200000,1.180000,1.200000,0.980019,2099560
2014-05-16,1.185000,1.200000,1.160000,1.195000,0.975935,1988604
2014-05-19,1.190000,1.190000,1.165000,1.170000,0.955518,1533421
2014-05-20,1.175000,1.195000,1.167000,1.190000,0.971852,2990264
2014-05-21,1.185000,1.185000,1.167000,1.180000,0.963685,1335020
2014-05-22,1.185000,1.210000,1.180000,1.210000,0.988186,1891117
2014-05-23,1.205000,1.215000,1.195000,1.215000,0.992269,1195532
2014-05-26,1.220000,1.222000,1.200000,1.215000,0.992269,1116392
2014-05-27,1.210000,1.220000,1.207000,1.210000,0.988186,541643
2014-05-28,1.155000,1.170000,1.140000,1.160000,0.947352,3097402
2014-05-29,1.150000,1.160000,1.145000,1.155000,0.943268,1839397
2014-05-30,1.150000,1.180000,1.150000,1.155000,0.943268,4111750
2014-06-02,1.140000,1.155000,1.110000,1.115000,0.910601,3540297
2014-06-03,1.115000,1.115000,1.070000,1.085000,0.886100,4610559
2014-06-04,1.095000,1.125000,1.095000,1.120000,0.914684,2688946
2014-06-05,1.110000,1.115000,1.085000,1.085000,0.886100,2311060
2014-06-06,1.120000,1.135000,1.120000,1.130000,0.922851,2423112
2014-06-10,1.140000,1.170000,1.140000,1.160000,0.947352,3386647
2014-06-11,1.180000,1.200000,1.170000,1.190000,0.971852,2741837
2014-06-12,1.190000,1.200000,1.170000,1.175000,0.959602,2877236
2014-06-13,1.200000,1.210000,1.175000,1.185000,0.967768,5943549
2014-06-16,1.220000,1.245000,1.220000,1.240000,1.012686,7974727
2014-06-17,1.210000,1.230000,1.192000,1.210000,0.988186,5419333
2014-06-18,1.220000,1.235000,1.217000,1.225000,1.000436,3391119
2014-06-19,1.250000,1.280000,1.235000,1.275000,1.041270,7103164
2014-06-20,1.330000,1.350000,1.280000,1.290000,1.053520,15907192
2014-06-23,1.300000,1.300000,1.250000,1.260000,1.029020,5892127
2014-06-24,1.275000,1.305000,1.265000,1.295000,1.057603,6480295
2014-06-25,1.280000,1.285000,1.255000,1.255000,1.024936,4112897
2014-06-26,1.265000,1.295000,1.265000,1.270000,1.037186,3105800
2014-06-27,1.280000,1.290000,1.270000,1.285000,1.049437,2114430
2014-06-30,1.285000,1.285000,1.260000,1.260000,1.029020,1740924
2014-07-01,1.285000,1.320000,1.280000,1.310000,1.069854,6160480
2014-07-02,1.320000,1.340000,1.300000,1.315000,1.073937,2274955
2014-07-03,1.320000,1.360000,1.315000,1.350000,1.102521,3248168
2014-07-04,1.350000,1.365000,1.340000,1.355000,1.106604,2574990
2014-07-07,1.365000,1.370000,1.330000,1.340000,1.094354,2280064
2014-07-08,1.335000,1.335000,1.310000,1.320000,1.078020,1724819
2014-07-09,1.350000,1.515000,1.345000,1.505000,1.229107,9688102
2014-07-10,1.520000,1.615000,1.520000,1.580000,1.290358,7323581
2014-07-11,1.625000,1.700000,1.602000,1.620000,1.323025,8066212
2014-07-14,1.640000,1.770000,1.640000,1.675000,1.367943,8036102
2014-07-15,1.660000,1.767000,1.620000,1.675000,1.367943,13099634
2014-07-16,1.640000,1.685000,1.620000,1.665000,1.359776,4890501
2014-07-17,1.700000,1.757000,1.695000,1.730000,1.412861,6013502
2014-07-18,1.785000,1.832500,1.750000,1.755000,1.433277,6207736
2014-07-21,1.790000,1.830000,1.777000,1.815000,1.482278,5295229
2014-07-22,1.840000,1.840000,1.800000,1.820000,1.486361,3563188
2014-07-23,1.815000,1.820000,1.780000,1.815000,1.482278,2862459
2014-07-24,1.800000,1.800000,1.715000,1.735000,1.416944,6985915
2014-07-25,1.700000,1.700000,1.660000,1.680000,1.372026,4902197
