Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,65.919998,66.519997,65.220001,66.199997,58.292225,645400
2014-05-01,65.089996,65.680000,64.000000,64.309998,56.627991,637900
2014-05-02,65.029999,66.839996,64.309998,66.790001,58.811771,485900
2014-05-05,67.949997,67.980003,65.760002,66.610001,58.653263,588300
2014-05-06,66.400002,66.620003,65.849998,66.230003,58.318649,463200
2014-05-07,66.050003,66.230003,63.930000,64.440002,56.742474,578200
2014-05-08,64.410004,65.690002,64.300003,64.790001,57.050667,444300
2014-05-09,64.720001,65.209999,63.750000,64.790001,57.050667,346600
2014-05-12,65.599998,66.559998,65.480003,65.860001,57.992859,405500
2014-05-13,65.860001,66.360001,64.550003,64.639999,56.918575,428200
2014-05-14,64.900002,65.300003,64.000000,64.129997,56.469494,425100
2014-05-15,63.919998,64.279999,63.549999,64.230003,56.557568,436500
2014-05-16,63.919998,64.129997,63.150002,63.639999,56.038029,420300
2014-05-19,64.000000,64.379997,63.639999,64.010002,56.363827,408700
2014-05-20,63.619999,64.820000,63.360001,64.029999,56.381428,468400
2014-05-21,63.980000,64.650002,63.459999,64.620003,56.900974,376300
2014-05-22,64.930000,64.980003,64.139999,64.190002,56.522335,329800
2014-05-23,64.070000,64.820000,63.869999,63.980000,56.337418,279300
2014-05-27,63.049999,63.520000,60.919998,61.139999,53.836658,916800
2014-05-28,60.730000,61.130001,58.860001,60.139999,52.956108,1017500
2014-05-29,60.160000,62.990002,60.139999,62.150002,54.726025,749600
2014-05-30,61.880001,62.790001,60.959999,62.720001,55.227940,667200
2014-06-02,62.500000,62.919998,61.770000,62.790001,55.289566,537800
2014-06-03,62.349998,62.900002,61.720001,62.630001,55.148666,468800
2014-06-04,62.680000,63.779999,62.290001,62.820000,55.315975,476200
2014-06-05,63.220001,65.370003,63.150002,65.029999,57.262001,947200
2014-06-06,65.080002,65.500000,63.520000,64.110001,56.451900,337200
2014-06-09,64.000000,64.239998,63.049999,63.080002,55.544930,294700
2014-06-10,63.349998,64.339996,63.049999,63.779999,56.161304,353700
2014-06-11,63.790001,64.589996,63.250000,64.320000,56.636806,500900
2014-06-12,64.599998,67.080002,64.540001,66.769997,58.794147,627600
2014-06-13,66.849998,67.449997,66.019997,67.419998,59.366497,526400
2014-06-16,67.720001,67.800003,66.150002,66.949997,58.952641,444100
2014-06-17,66.699997,69.099998,66.209999,68.000000,59.877220,621400
2014-06-18,68.169998,69.800003,67.919998,69.639999,61.321308,607000
2014-06-19,70.550003,73.809998,70.099998,73.449997,64.676186,1185600
2014-06-20,73.209999,73.800003,72.449997,73.330002,64.570557,1057200
2014-06-23,73.669998,75.669998,73.410004,75.279999,66.287582,679700
2014-06-24,76.129997,76.849998,73.510002,73.589996,64.799477,834800
2014-06-25,73.339996,74.769997,73.250000,73.919998,65.090034,538900
2014-06-26,74.070000,74.220001,72.879997,74.040001,65.195717,641900
2014-06-27,74.459999,75.209999,73.550003,74.769997,65.838524,866800
2014-06-30,74.599998,76.180000,73.389999,76.129997,67.036057,585700
2014-07-01,76.449997,76.730003,75.110001,75.349998,66.532768,725900
2014-07-02,75.410004,77.220001,75.250000,76.230003,67.309784,503800
2014-07-03,75.650002,76.239998,74.589996,76.190002,67.274475,285000
2014-07-07,75.510002,75.830002,74.389999,74.629997,65.897018,498800
2014-07-08,75.580002,76.000000,73.790001,74.730003,65.985336,1124700
2014-07-09,74.820000,76.639999,74.820000,76.269997,67.345093,699600
2014-07-10,77.879997,78.989998,75.500000,75.529999,66.691689,986300
2014-07-11,75.849998,78.620003,75.610001,78.349998,69.181702,652300
2014-07-14,76.519997,77.879997,76.260002,76.669998,67.698303,618700
2014-07-15,76.900002,77.610001,73.550003,74.199997,65.517334,905900
2014-07-16,74.209999,75.500000,74.209999,74.839996,66.082443,533400
2014-07-17,74.839996,77.629997,74.690002,77.059998,68.042664,792500
2014-07-18,76.690002,77.489998,75.639999,77.300003,68.254601,504500
2014-07-21,77.500000,78.150002,76.169998,77.879997,68.766701,441000
2014-07-22,77.919998,78.169998,77.059998,77.160004,68.130959,322800
2014-07-23,77.500000,78.349998,76.750000,76.980003,67.972031,355200
2014-07-24,76.849998,76.860001,75.730003,76.500000,67.548203,505600
2014-07-25,76.010002,78.339996,76.010002,78.070000,68.934464,493400
2014-07-28,77.690002,78.620003,77.139999,78.580002,69.384804,370100
2014-07-29,78.750000,78.970001,77.720001,78.129997,68.987442,366000
2014-07-30,77.940002,78.500000,76.889999,78.029999,68.899178,389200
2014-07-31,77.489998,77.489998,75.260002,75.570000,66.727043,532500
2014-08-01,76.489998,77.680000,75.370003,76.330002,67.398071,586300
2014-08-04,76.430000,77.250000,75.389999,76.559998,67.601173,430900
2014-08-05,75.949997,77.019997,75.320000,76.860001,67.866066,347000
2014-08-06,77.019997,78.500000,77.019997,77.099998,68.077988,731600
2014-08-07,76.650002,78.470001,76.540001,78.360001,69.190536,705500
2014-08-08,78.580002,80.250000,78.300003,79.309998,70.029350,635000
2014-08-11,79.669998,80.139999,79.449997,79.669998,70.347244,369300
2014-08-12,81.180000,81.900002,80.000000,80.660004,71.221420,751000
2014-08-13,81.070000,82.839996,81.070000,82.500000,72.846085,824300
2014-08-14,82.480003,82.599998,79.949997,80.449997,71.035965,844700
2014-08-15,79.519997,79.550003,77.660004,79.089996,69.835121,661900
2014-08-18,78.970001,79.790001,78.300003,79.760002,70.426727,377800
2014-08-19,79.769997,80.139999,78.360001,79.529999,70.223618,606300
2014-08-20,79.459999,80.589996,79.099998,79.720001,70.391403,394700
2014-08-21,79.190002,79.190002,75.279999,75.790001,66.921272,1167700
2014-08-22,75.919998,76.099998,74.730003,75.529999,66.691689,461200
