Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,75.029999,75.029999,74.169998,74.309998,53.512978,6853600
2014-05-01,75.010002,75.330002,74.050003,75.029999,54.031464,5895900
2014-05-02,74.879997,76.849998,74.870003,76.519997,55.104477,9359500
2014-05-05,76.400002,77.300003,76.220001,76.889999,55.370926,5842700
2014-05-06,77.199997,77.300003,76.639999,77.080002,55.507771,5020100
2014-05-07,77.620003,78.220001,77.339996,78.110001,56.249470,7189300
2014-05-08,77.919998,78.070000,76.769997,77.010002,55.457344,6709900
2014-05-09,77.099998,77.650002,76.910004,77.639999,55.911030,5609600
2014-05-12,78.110001,78.419998,77.790001,78.410004,56.465530,4979100
2014-05-13,78.449997,78.820000,78.239998,78.639999,56.631138,5229000
2014-05-14,78.739998,78.790001,78.349998,78.529999,56.551933,4463000
2014-05-15,78.459999,78.680000,77.519997,78.110001,56.249470,7914100
2014-05-16,78.110001,78.239998,77.449997,78.059998,56.213486,5868000
2014-05-19,78.010002,78.570000,77.940002,78.430000,56.479931,3341700
2014-05-20,78.500000,78.680000,78.110001,78.540001,56.559143,4353500
2014-05-21,78.239998,78.660004,78.040001,78.529999,57.053162,4484300
2014-05-22,78.400002,78.750000,78.139999,78.459999,57.002285,3508900
2014-05-23,78.529999,78.769997,78.300003,78.430000,56.980515,3566300
2014-05-27,78.459999,79.050003,78.459999,79.040001,57.423676,4175600
2014-05-28,79.809998,80.540001,79.510002,79.570000,57.808754,6549900
2014-05-29,79.489998,79.839996,78.900002,79.550003,57.794212,4065600
2014-05-30,79.419998,80.110001,79.209999,79.940002,58.077553,5991400
2014-06-02,80.209999,80.550003,79.050003,79.480003,57.743370,5071900
2014-06-03,79.470001,79.870003,79.279999,79.820000,57.990368,4551700
2014-06-04,79.720001,79.989998,79.580002,79.800003,57.975834,3585400
2014-06-05,79.809998,80.059998,79.500000,80.050003,58.157478,4144600
2014-06-06,80.360001,81.180000,80.220001,80.839996,58.731400,5409500
2014-06-09,80.570000,81.129997,80.400002,80.849998,58.738670,3213400
2014-06-10,80.830002,81.660004,80.559998,81.629997,59.305363,6663400
2014-06-11,81.500000,82.099998,81.459999,81.949997,59.537842,4538300
2014-06-12,82.150002,83.239998,82.129997,82.860001,60.198982,6279100
2014-06-13,82.800003,83.089996,82.050003,83.080002,60.358791,4374900
2014-06-16,83.190002,83.830002,82.919998,83.690002,60.802002,4753500
2014-06-17,83.180000,83.779999,82.639999,83.750000,60.845573,4859500
2014-06-18,83.570000,84.300003,83.180000,84.239998,61.201534,4511900
2014-06-19,84.269997,84.769997,84.139999,84.769997,61.586617,4083800
2014-06-20,85.110001,85.459999,84.779999,85.360001,62.015244,7426200
2014-06-23,85.589996,86.430000,85.470001,86.099998,62.552860,5943500
2014-06-24,86.019997,86.019997,84.790001,84.800003,61.608406,8087800
2014-06-25,84.650002,85.730003,84.650002,85.620003,62.204151,4980600
2014-06-26,85.589996,85.970001,84.559998,85.959999,62.451145,4587900
2014-06-27,85.750000,86.059998,85.400002,86.000000,62.480209,4511900
2014-06-30,85.809998,85.930000,85.220001,85.730003,62.284061,4045900
2014-07-01,86.250000,86.389999,85.639999,86.110001,62.560154,3537900
2014-07-02,85.809998,85.980003,85.309998,85.860001,62.378506,3513600
2014-07-03,85.730003,86.400002,85.540001,86.400002,62.770840,2669800
2014-07-07,85.839996,86.209999,85.180000,86.099998,62.552860,3925600
2014-07-08,85.980003,86.650002,85.730003,86.040001,62.509285,4988900
2014-07-09,86.070000,86.290001,85.709999,85.800003,62.334923,5722700
2014-07-10,84.910004,85.930000,82.779999,85.669998,62.240494,8248600
