Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,194.619995,194.649994,191.000000,193.270004,149.646118,967000
2014-05-01,192.940002,195.899994,191.479996,193.110001,149.522247,785900
2014-05-02,193.119995,196.460007,192.520004,196.130005,151.860596,968800
2014-05-05,195.600006,198.529999,193.509995,198.250000,153.502075,1327700
2014-05-06,199.000000,200.000000,197.000000,198.119995,153.401474,1277100
2014-05-07,206.490005,209.740005,200.130005,208.199997,161.206238,3159600
2014-05-08,206.199997,208.600006,202.539993,203.000000,157.179932,1718700
2014-05-09,203.009995,205.199997,200.250000,201.029999,155.654617,1350500
2014-05-12,202.929993,204.720001,202.020004,204.350006,158.225220,1338500
2014-05-13,204.330002,206.080002,203.440002,205.220001,158.898849,954800
2014-05-14,205.660004,206.789993,204.660004,204.809998,158.581360,817300
2014-05-15,203.380005,203.729996,199.199997,202.300003,156.637955,1456600
2014-05-16,201.850006,202.639999,198.440002,202.520004,156.808273,822100
2014-05-19,202.809998,205.589996,200.979996,202.860001,157.071548,639100
2014-05-20,201.919998,202.990005,200.000000,200.770004,155.453278,813900
2014-05-21,202.500000,205.139999,201.360001,204.740005,158.527206,908600
2014-05-22,203.860001,205.820007,202.429993,202.809998,157.032806,940300
2014-05-23,203.440002,204.330002,201.850006,202.309998,156.645660,704200
2014-05-27,203.809998,204.500000,201.759995,203.520004,157.582581,954300
2014-05-28,204.380005,204.490005,202.149994,202.960007,157.149002,900400
2014-05-29,204.320007,211.470001,203.500000,210.149994,162.716034,1865400
2014-05-30,209.470001,211.149994,208.669998,210.160004,162.723831,1282600
2014-06-02,211.369995,211.479996,208.320007,209.279999,162.042450,1029100
2014-06-03,207.929993,214.740005,207.809998,214.300003,165.929382,1480700
2014-06-04,214.229996,215.710007,211.639999,214.529999,166.107422,966500
2014-06-05,214.059998,217.399994,213.880005,215.009995,166.479095,1208300
2014-06-06,215.940002,219.759995,215.440002,218.929993,169.514297,965900
2014-06-09,219.740005,221.759995,217.869995,220.470001,170.706696,966200
2014-06-10,221.759995,222.000000,218.559998,219.199997,169.723297,837900
2014-06-11,217.779999,224.250000,217.020004,223.789993,173.277298,1150700
2014-06-12,224.429993,228.770004,222.539993,223.000000,172.665619,1750300
2014-06-13,224.000000,227.000000,222.020004,226.949997,175.724045,1276900
2014-06-16,226.899994,227.990005,225.020004,227.380005,176.057022,897200
2014-06-17,225.720001,226.750000,223.679993,226.470001,175.352386,835200
2014-06-18,226.050003,228.660004,225.429993,228.500000,176.924210,841800
2014-06-19,228.139999,230.029999,227.220001,229.970001,178.062393,1229600
2014-06-20,230.160004,232.419998,228.169998,232.300003,179.866486,1514300
2014-06-23,232.500000,233.919998,230.820007,232.770004,180.230423,1120600
2014-06-24,233.149994,234.199997,220.919998,221.649994,171.620331,1881700
2014-06-25,226.399994,233.880005,225.179993,233.070007,180.462692,3201500
2014-06-26,231.990005,232.520004,225.850006,228.160004,176.660965,1561400
2014-06-27,227.119995,227.690002,224.710007,226.289993,175.213028,1988100
2014-06-30,226.850006,229.970001,224.970001,229.809998,177.938507,997700
2014-07-01,231.410004,232.160004,227.229996,228.750000,177.117798,1030400
2014-07-02,227.500000,228.000000,223.500000,224.550003,173.865768,1106800
2014-07-03,225.410004,226.389999,223.029999,224.979996,174.198715,691300
2014-07-07,223.610001,224.960007,222.500000,223.130005,172.766312,604300
2014-07-08,222.880005,224.960007,221.550003,224.009995,173.447647,1536900
2014-07-09,224.160004,226.500000,223.539993,226.039993,175.019485,767800
2014-07-10,222.800003,225.369995,221.660004,224.139999,173.548340,1028100
2014-07-11,223.320007,224.699997,220.479996,222.419998,172.216553,1017100
2014-07-14,223.429993,225.479996,222.410004,224.660004,173.950958,854500
2014-07-15,224.199997,224.429993,216.929993,219.910004,170.273148,1666300
2014-07-16,221.820007,226.710007,220.779999,225.690002,174.748520,1185500
2014-07-17,226.009995,229.009995,222.070007,222.580002,172.340408,900700
2014-07-18,223.039993,224.289993,221.399994,223.100006,172.743088,795600
2014-07-21,222.330002,227.860001,221.339996,227.660004,176.273865,956800
2014-07-22,228.369995,229.889999,227.160004,229.169998,177.442963,1147900
2014-07-23,228.410004,232.110001,226.800003,231.750000,179.440598,972200
2014-07-24,231.710007,234.600006,230.009995,232.279999,179.850998,1052100
2014-07-25,231.000000,231.759995,229.410004,231.380005,179.154144,844500
2014-07-28,230.500000,231.279999,227.169998,227.500000,176.149902,971800
2014-07-29,227.899994,230.860001,226.559998,228.960007,177.280396,856600
2014-07-30,229.660004,231.050003,226.440002,227.119995,175.855698,739900
2014-07-31,226.490005,226.490005,220.509995,221.460007,171.473236,1281100
2014-08-01,219.309998,224.220001,210.619995,216.460007,167.601807,3511200
2014-08-04,216.839996,223.399994,214.729996,222.410004,172.208771,1439700
2014-08-05,217.339996,219.860001,208.100006,209.979996,162.584457,3084400
2014-08-06,208.899994,213.990005,205.240005,206.360001,159.781540,2050700
2014-08-07,207.600006,207.619995,201.759995,205.710007,159.278244,1462400
2014-08-08,206.770004,210.669998,204.759995,210.110001,162.685120,1145000
2014-08-11,211.529999,211.869995,208.360001,208.839996,161.701752,838000
2014-08-12,207.600006,208.330002,202.699997,204.580002,158.403320,960700
2014-08-13,205.660004,206.880005,204.320007,204.889999,158.643326,628100
2014-08-14,205.449997,205.449997,199.389999,200.070007,154.911255,2810000
2014-08-15,201.600006,203.970001,200.889999,203.009995,157.187653,1434800
2014-08-18,203.300003,204.089996,201.000000,204.039993,157.985229,1007600
2014-08-19,203.699997,205.500000,203.000000,203.169998,157.311523,825200
2014-08-20,203.169998,205.389999,201.789993,204.470001,158.318146,762200
2014-08-21,204.009995,206.270004,202.429993,205.949997,159.464096,855500
2014-08-22,204.970001,205.410004,202.550003,204.229996,158.132370,643000
2014-08-25,205.750000,208.460007,204.669998,208.080002,161.113327,825000
2014-08-26,209.350006,213.110001,208.770004,211.350006,163.645203,1558200
2014-08-27,209.699997,209.830002,205.110001,206.050003,159.541489,1518000
2014-08-28,204.630005,206.710007,204.100006,205.139999,158.836853,754000
2014-08-29,206.460007,209.139999,204.589996,208.649994,161.554626,946500
2014-09-02,207.929993,208.289993,204.789993,205.300003,158.960800,1250100
2014-09-03,205.970001,208.500000,205.630005,205.940002,159.456314,767400
2014-09-04,205.949997,206.660004,198.270004,199.910004,154.787430,1381800
2014-09-05,200.490005,203.399994,199.410004,202.110001,156.490829,1299100
2014-09-08,200.309998,200.309998,194.600006,197.960007,153.277527,1626100
2014-09-09,198.559998,201.369995,197.929993,199.380005,154.377045,1370400
2014-09-10,198.399994,200.350006,196.210007,200.119995,154.950012,1261500
2014-09-11,198.179993,205.110001,197.339996,203.619995,157.659958,1426500
2014-09-12,203.300003,203.410004,201.009995,202.250000,156.599213,1167700
2014-09-15,201.399994,203.970001,199.000000,202.619995,156.885727,906300
2014-09-16,202.520004,209.250000,202.460007,206.820007,160.137711,1219100
2014-09-17,207.710007,208.720001,204.649994,205.440002,159.069199,1965200
2014-09-18,206.220001,206.440002,200.750000,202.160004,156.529541,1513900
2014-09-19,202.839996,203.809998,200.100006,200.679993,155.383560,1155700
2014-09-22,200.350006,200.350006,193.029999,195.910004,151.690277,1794000
2014-09-23,194.779999,201.300003,194.779999,197.360001,152.812973,1378600
2014-09-24,195.440002,200.330002,193.199997,198.520004,153.711121,1730600
2014-09-25,198.559998,198.750000,194.330002,194.690002,150.745605,1208100
2014-09-26,194.869995,198.309998,194.399994,196.600006,152.255798,1110300
2014-09-29,195.910004,202.860001,193.660004,201.960007,156.406799,1852400
2014-09-30,201.000000,201.619995,194.649994,196.970001,152.542313,1472700
2014-10-01,196.649994,199.559998,188.600006,189.820007,147.005051,2176700
2014-10-02,188.229996,189.899994,183.059998,188.360001,145.874374,2608700
2014-10-03,188.970001,189.309998,182.369995,186.380005,144.340973,1915600
2014-10-06,187.889999,189.639999,183.529999,187.009995,144.828873,1687800
2014-10-07,185.550003,188.250000,183.029999,183.029999,141.746597,1789100
2014-10-08,182.720001,186.199997,178.440002,185.699997,143.814362,2460300
2014-10-09,182.520004,184.149994,176.809998,178.000000,137.851135,2551000
2014-10-10,178.389999,184.110001,172.470001,176.240005,136.488098,2503500
2014-10-13,176.500000,179.309998,167.839996,168.029999,130.129929,2787300
2014-10-14,169.300003,173.419998,163.250000,164.779999,127.612968,3403500
2014-10-15,161.139999,172.679993,156.820007,171.580002,132.879196,3753300
2014-10-16,167.570007,179.820007,166.559998,177.919998,137.789169,3559500
2014-10-17,181.000000,184.169998,176.509995,178.679993,138.377731,2436400
2014-10-20,177.610001,181.580002,176.740005,179.710007,139.175415,1363700
2014-10-21,182.259995,186.169998,181.649994,185.940002,144.000214,1896500
2014-10-22,185.839996,187.649994,178.710007,178.990005,138.617828,1683300
2014-10-23,181.970001,186.350006,179.949997,183.940002,142.451340,1592100
2014-10-24,182.169998,182.830002,178.759995,181.110001,140.259628,1331200
2014-10-27,176.910004,178.250000,172.679993,176.449997,136.650726,1988700
2014-10-28,178.199997,184.460007,175.500000,183.759995,142.311905,1731500
2014-10-29,186.779999,189.990005,183.500000,186.100006,144.124084,1488900
2014-10-30,184.089996,186.910004,180.500000,185.360001,143.551041,1461100
2014-10-31,185.000000,189.809998,180.679993,189.059998,146.416504,2100200
2014-11-03,190.740005,195.789993,186.149994,188.139999,145.703979,2493200
2014-11-04,183.960007,184.880005,178.009995,180.910004,140.104767,2584800
2014-11-05,173.410004,175.880005,170.529999,172.860001,133.870514,8285000
2014-11-06,172.279999,175.410004,171.059998,174.830002,135.396164,4571900
