Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,87.610001,87.660004,86.959999,87.430000,75.484497,4351600
2014-05-01,87.529999,87.580002,86.330002,86.820000,74.957863,4679900
2014-05-02,86.769997,87.309998,86.410004,86.930000,75.052818,3707400
2014-05-05,86.000000,87.419998,85.750000,87.360001,75.424057,3340000
2014-05-06,87.250000,87.250000,86.080002,86.199997,74.422562,3269400
2014-05-07,86.790001,88.050003,86.110001,87.980003,75.959335,4601500
2014-05-08,87.879997,89.279999,87.660004,88.620003,76.511887,4220200
2014-05-09,88.459999,89.029999,88.129997,88.839996,76.701836,2344700
2014-05-12,89.419998,89.970001,89.320000,89.660004,77.409828,2343800
2014-05-13,89.650002,90.000000,89.040001,89.089996,76.917702,2298500
2014-05-14,89.169998,89.430000,88.309998,88.459999,76.373741,2238500
2014-05-15,88.199997,88.580002,87.110001,87.599998,75.631264,3324400
2014-05-16,87.599998,87.760002,86.900002,87.500000,75.544930,3062400
2014-05-19,87.180000,88.220001,87.110001,88.120003,76.080215,2000300
2014-05-20,87.820000,88.050003,86.860001,87.089996,75.190933,2798400
2014-05-21,87.570000,88.139999,87.379997,87.860001,75.855713,2525600
2014-05-22,87.790001,88.389999,87.550003,88.150002,76.106125,2654800
2014-05-23,88.110001,88.860001,88.000000,88.779999,76.650047,1858200
2014-05-27,89.599998,91.470001,89.349998,91.389999,78.903412,5093800
2014-05-28,91.309998,91.360001,90.629997,91.059998,78.618523,2466800
2014-05-29,91.120003,91.300003,90.529999,91.279999,78.808449,2668500
2014-05-30,91.000000,91.680000,90.889999,91.500000,78.998375,3594800
2014-06-02,91.790001,92.110001,91.430000,91.889999,79.335091,2832100
2014-06-03,91.610001,91.849998,91.269997,91.730003,79.196991,2589100
2014-06-04,91.589996,91.900002,91.330002,91.809998,79.266037,2637000
2014-06-05,91.919998,93.209999,91.529999,92.800003,80.120804,3219200
2014-06-06,92.940002,94.940002,92.820000,94.910004,81.942482,4550800
2014-06-09,95.080002,95.879997,94.650002,95.570000,82.512314,3825200
2014-06-10,95.089996,95.389999,94.680000,95.279999,82.261932,2418300
2014-06-11,94.940002,95.260002,94.639999,95.080002,82.089279,1884000
2014-06-12,95.349998,95.480003,94.360001,94.760002,81.813019,2870500
2014-06-13,94.949997,95.169998,94.379997,94.849998,81.890678,1793000
2014-06-16,94.360001,94.750000,93.839996,94.370003,81.476265,2832500
2014-06-17,94.370003,95.199997,94.010002,94.660004,81.726692,2572300
2014-06-18,94.750000,95.589996,94.080002,95.559998,82.503693,2454800
2014-06-19,95.459999,95.699997,94.529999,95.070000,82.080627,3206400
2014-06-20,95.580002,96.040001,95.029999,95.540001,82.486435,5387400
2014-06-23,95.330002,95.750000,94.790001,95.510002,82.460526,2102500
2014-06-24,95.089996,95.550003,94.250000,94.430000,81.528091,2088700
2014-06-25,94.260002,95.209999,94.199997,94.639999,81.709389,2398400
2014-06-26,94.830002,94.940002,93.540001,94.300003,81.415825,2594800
2014-06-27,94.250000,95.050003,94.129997,94.930000,81.959770,3630700
2014-06-30,95.000000,95.339996,94.550003,94.870003,81.907951,2634300
2014-07-01,95.419998,96.239998,95.279999,95.349998,82.322403,3026300
2014-07-02,95.190002,95.779999,95.059998,95.209999,82.201523,1595500
2014-07-03,95.580002,95.940002,95.220001,95.839996,82.745438,1633800
2014-07-07,95.500000,95.660004,95.120003,95.400002,82.365555,1962800
2014-07-08,94.919998,95.010002,93.570000,94.570000,81.648964,2828700
2014-07-09,95.440002,95.550003,94.410004,94.739998,82.021225,2645500
2014-07-10,93.550003,94.809998,93.160004,94.459999,81.778816,2230000
2014-07-11,94.269997,94.589996,93.750000,94.470001,81.787483,2108500
2014-07-14,95.230003,95.580002,94.430000,94.540001,81.848083,2388000
2014-07-15,94.790001,95.160004,94.000000,94.449997,81.770142,3499200
2014-07-16,94.809998,95.089996,94.269997,94.470001,81.787483,2738000
2014-07-17,93.959999,94.699997,92.910004,92.989998,80.506180,3110800
2014-07-18,93.320000,93.930000,93.099998,93.529999,80.973671,3363000
2014-07-21,93.290001,93.400002,92.379997,92.879997,80.410927,2321800
2014-07-22,93.510002,94.059998,93.220001,93.370003,80.835152,2411600
2014-07-23,93.190002,93.589996,92.820000,93.279999,80.757225,1984800
2014-07-24,93.330002,93.620003,92.849998,93.150002,80.644684,3023400
2014-07-25,92.739998,93.070000,91.580002,91.930000,79.588463,3903500
2014-07-28,91.900002,92.029999,90.900002,91.860001,79.527847,4274000
2014-07-29,91.830002,92.230003,91.510002,91.709999,79.398026,4773300
2014-07-30,92.110001,92.320000,90.040001,90.910004,78.705391,5069300
2014-07-31,90.070000,90.260002,87.989998,88.000000,76.186043,7561100
2014-08-01,87.410004,87.739998,85.750000,86.470001,74.861465,12258300
2014-08-04,86.599998,87.239998,86.449997,86.930000,75.259697,5743800
2014-08-05,86.650002,87.019997,85.889999,86.360001,74.766243,5004400
2014-08-06,86.040001,86.790001,86.000000,86.400002,74.800880,4805600
2014-08-07,86.790001,87.139999,85.889999,86.019997,74.471878,4539100
2014-08-08,86.089996,87.510002,85.910004,87.470001,75.727226,4206700
2014-08-11,87.919998,88.160004,86.940002,86.949997,75.277008,3594400
2014-08-12,87.000000,87.089996,86.699997,87.080002,75.389572,3106600
2014-08-13,87.440002,88.070000,87.160004,87.400002,75.666618,2590600
2014-08-14,87.500000,87.800003,87.099998,87.269997,75.554054,3498800
2014-08-15,87.779999,87.879997,86.230003,86.599998,74.974030,3290800
2014-08-18,87.290001,87.480003,86.980003,87.160004,75.458862,2662100
2014-08-19,87.580002,88.279999,87.449997,88.120003,76.289940,3523700
2014-08-20,88.010002,88.650002,87.900002,88.489998,76.610283,3142900
2014-08-21,88.639999,89.330002,88.589996,89.139999,77.173019,3019300
2014-08-22,88.889999,89.510002,88.830002,88.879997,76.947922,2796200
2014-08-25,89.559998,90.220001,89.320000,89.589996,77.562599,3730000
2014-08-26,89.610001,89.930000,89.080002,89.150002,77.181694,2934600
2014-08-27,89.250000,89.589996,88.989998,89.239998,77.259575,2632300
2014-08-28,88.839996,89.330002,88.610001,89.019997,77.069130,3324900
2014-08-29,89.370003,89.699997,89.089996,89.550003,77.527977,2672700
2014-09-02,89.900002,90.129997,89.279999,89.720001,77.675140,3592100
2014-09-03,90.129997,90.489998,90.000000,90.139999,78.038750,2930800
2014-09-04,90.110001,90.459999,89.419998,89.650002,77.614578,2594100
2014-09-05,89.639999,89.739998,89.019997,89.610001,77.579926,2571200
2014-09-08,89.400002,89.830002,88.620003,88.930000,76.991219,3617600
2014-09-09,88.849998,88.900002,87.750000,87.900002,76.099495,4014300
2014-09-10,88.099998,88.660004,88.010002,88.410004,76.541031,3471000
2014-09-11,88.010002,88.599998,87.879997,88.419998,76.549667,2757000
2014-09-12,88.180000,88.300003,87.440002,87.639999,75.874397,4724500
2014-09-15,88.349998,88.349998,87.110001,87.379997,75.649292,3983800
2014-09-16,87.160004,88.699997,86.879997,88.360001,76.497734,5946200
2014-09-17,88.610001,89.559998,88.330002,89.070000,77.112411,4460700
2014-09-18,89.330002,90.589996,89.309998,90.099998,78.004112,4309800
2014-09-19,90.680000,90.680000,89.419998,89.699997,77.657845,7118600
2014-09-22,89.580002,90.089996,88.900002,88.989998,77.043159,3134700
2014-09-23,88.550003,89.260002,88.230003,88.309998,76.454445,3711000
2014-09-24,88.470001,88.650002,87.870003,88.519997,76.636261,5089900
2014-09-25,88.510002,88.820000,86.760002,86.760002,75.112541,5648000
2014-09-26,87.160004,88.669998,86.949997,88.370003,76.506386,4480300
2014-09-29,87.629997,88.029999,87.139999,87.949997,76.142769,3304100
2014-09-30,88.199997,88.320000,87.349998,87.540001,75.787804,3867100
2014-10-01,86.900002,87.309998,85.510002,85.809998,74.511375,4777800
2014-10-02,86.389999,86.500000,85.059998,85.870003,74.563484,4216800
2014-10-03,86.660004,87.309998,86.220001,87.160004,75.683632,4601400
2014-10-06,87.680000,87.970001,86.760002,87.029999,75.570732,3147300
2014-10-07,86.449997,86.449997,85.330002,85.349998,74.111938,3905000
2014-10-08,85.410004,87.470001,85.000000,87.410004,75.900696,4238200
2014-10-09,87.330002,87.980003,85.820000,85.889999,74.580849,5394400
2014-10-10,85.779999,86.699997,84.989998,84.989998,73.799355,4226400
2014-10-13,84.760002,85.250000,82.610001,82.779999,71.880348,5072300
2014-10-14,83.269997,83.389999,82.510002,82.739998,71.845612,6165000
2014-10-15,81.300003,81.790001,78.410004,80.930000,70.273926,9155600
2014-10-16,80.290001,81.470001,78.809998,80.239998,69.674797,9159300
2014-10-17,80.910004,84.519997,80.900002,82.580002,71.706657,9175000
2014-10-20,82.790001,84.099998,82.629997,84.010002,72.948387,5231100
2014-10-21,84.699997,85.660004,84.440002,85.639999,74.363777,4847100
