Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,98.169998,98.800003,97.919998,98.500000,72.122452,2546500
2014-05-01,98.500000,98.599998,97.849998,98.110001,71.836876,2383600
2014-05-02,98.080002,99.180000,98.019997,98.559998,72.166397,2280300
2014-05-05,98.269997,98.290001,97.599998,97.949997,71.719734,2390200
2014-05-06,97.699997,97.930000,97.339996,97.379997,71.302368,1876200
2014-05-07,97.809998,98.879997,97.599998,98.830002,72.364082,1922900
2014-05-08,98.800003,99.449997,98.650002,98.989998,72.481239,2246500
2014-05-09,99.070000,99.989998,98.870003,99.760002,73.045029,2340500
2014-05-12,100.000000,101.510002,99.940002,101.510002,74.326393,2861300
2014-05-13,101.750000,102.720001,101.660004,102.510002,75.058601,3687500
2014-05-14,102.389999,102.389999,101.430000,102.040001,74.714455,3410500
2014-05-15,101.339996,101.599998,100.199997,100.459999,74.043747,4405800
2014-05-16,100.620003,101.400002,100.480003,101.330002,74.684952,2278100
2014-05-19,101.059998,101.610001,101.050003,101.389999,74.729210,1455500
2014-05-20,101.330002,101.580002,100.209999,100.529999,74.095345,2090000
2014-05-21,100.690002,101.769997,100.690002,101.739998,74.987160,2017500
2014-05-22,101.629997,101.779999,101.330002,101.660004,74.928192,2316600
2014-05-23,101.639999,102.940002,101.559998,102.730003,75.716850,1867600
2014-05-27,102.959999,103.480003,102.930000,103.169998,76.041168,1982500
2014-05-28,103.470001,103.769997,103.239998,103.410004,76.218033,1866200
2014-05-29,103.930000,104.180000,103.430000,104.059998,76.697113,1890700
2014-05-30,104.000000,104.150002,103.720001,103.879997,76.564438,2627800
2014-06-02,104.129997,104.300003,103.599998,104.080002,76.711861,2914100
2014-06-03,103.910004,104.160004,103.070000,103.430000,76.232758,2319200
2014-06-04,103.389999,103.500000,102.599998,102.970001,75.893745,2822100
2014-06-05,103.330002,103.639999,102.970001,103.620003,76.372826,2514900
2014-06-06,103.739998,103.849998,103.430000,103.589996,76.350693,2103700
2014-06-09,103.400002,104.029999,103.339996,103.489998,76.277000,3199000
2014-06-10,103.150002,103.349998,102.599998,102.910004,75.849518,2578100
2014-06-11,102.580002,103.029999,102.300003,102.500000,75.547340,2106000
2014-06-12,102.440002,102.529999,100.839996,100.889999,74.360687,3116800
2014-06-13,100.989998,101.510002,100.800003,101.029999,74.463860,1942300
2014-06-16,100.900002,101.320000,100.529999,101.180000,74.574417,1918400
2014-06-17,101.010002,101.699997,100.519997,101.610001,74.891365,2057800
2014-06-18,102.620003,102.980003,101.699997,102.790001,75.761078,4459900
