Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,4.665000,4.670000,4.607500,4.617500,4.375779,30574000
2014-05-01,4.687500,4.697500,4.605000,4.642500,4.399470,19810400
2014-05-02,4.665000,4.665000,4.580000,4.607500,4.366302,15637600
2014-05-05,4.602500,4.692500,4.597500,4.657500,4.413685,23926000
2014-05-06,4.702500,4.742500,4.550000,4.562500,4.323657,41618800
2014-05-07,4.562500,4.605000,4.517500,4.567500,4.328397,29390000
2014-05-08,4.550000,4.697500,4.527500,4.625000,4.382887,43272800
2014-05-09,4.485000,4.527500,4.427500,4.512500,4.276276,53953200
2014-05-12,4.522500,4.655000,4.520000,4.645000,4.401839,29985600
2014-05-13,4.582500,4.657500,4.555000,4.570000,4.330766,22110400
2014-05-14,4.572500,4.590000,4.522500,4.525000,4.288121,21432000
2014-05-15,4.515000,4.540000,4.455000,4.500000,4.264430,32589600
2014-05-16,4.465000,4.522500,4.465000,4.490000,4.254953,28396000
2014-05-19,4.537500,4.660000,4.517500,4.635000,4.392365,36007600
2014-05-20,4.615000,4.627500,4.537500,4.560000,4.341192,25620000
2014-05-21,4.577500,4.617500,4.532500,4.560000,4.341192,21671200
2014-05-22,4.550000,4.605000,4.550000,4.580000,4.360233,13036400
2014-05-23,4.605000,4.645000,4.577500,4.622500,4.400694,18265600
2014-05-27,4.650000,4.705000,4.635000,4.705000,4.479235,20968000
2014-05-28,4.722500,4.775000,4.677500,4.745000,4.517314,22467600
2014-05-29,4.742500,4.782500,4.727500,4.737500,4.510175,17188400
2014-05-30,4.737500,4.762500,4.712500,4.750000,4.522075,23912800
2014-06-02,4.765000,4.795000,4.695000,4.735000,4.507795,18150000
2014-06-03,4.745000,4.750000,4.652500,4.715000,4.488755,24321200
2014-06-04,4.702500,4.755000,4.700000,4.720000,4.493514,16123600
2014-06-05,4.727500,4.755000,4.700000,4.740000,4.512555,18869600
2014-06-06,4.762500,4.800000,4.745000,4.757500,4.529217,16105200
2014-06-09,4.752500,4.807500,4.720000,4.762500,4.533974,24745600
2014-06-10,4.745000,4.810000,4.725000,4.787500,4.557776,21760800
2014-06-11,4.770000,4.862500,4.770000,4.850000,4.617278,26622800
2014-06-12,4.850000,4.902500,4.807500,4.880000,4.645838,33714800
2014-06-13,4.930000,4.932500,4.837500,4.885000,4.650598,22785200
2014-06-16,4.862500,4.902500,4.827500,4.870000,4.636318,19862000
2014-06-17,4.875000,4.922500,4.850000,4.902500,4.667258,15760800
2014-06-18,4.890000,4.920000,4.845000,4.897500,4.662498,21553600
2014-06-19,4.807500,4.832500,4.750000,4.785000,4.555395,47459200
2014-06-20,4.797500,4.815000,4.695000,4.732500,4.505414,35314800
2014-06-23,4.670000,4.680000,4.615000,4.677500,4.453053,41420000
2014-06-24,4.670000,4.707500,4.585000,4.605000,4.384033,27578000
2014-06-25,4.617500,4.655000,4.575000,4.652500,4.429253,21542000
2014-06-26,4.652500,4.655000,4.575000,4.590000,4.369754,25690800
2014-06-27,4.585000,4.622500,4.557500,4.595000,4.374513,30282000
2014-06-30,4.577500,4.647500,4.577500,4.635000,4.412593,18051200
2014-07-01,4.630000,4.715000,4.615000,4.687500,4.462574,32118000
2014-07-02,4.670000,4.690000,4.642500,4.670000,4.445913,17928400
2014-07-03,4.627500,4.725000,4.627500,4.712500,4.486373,13689200
2014-07-07,4.720000,4.722500,4.667500,4.675000,4.450674,12749600
2014-07-08,4.662500,4.682500,4.592500,4.637500,4.414973,22194000
2014-07-09,4.677500,4.797500,4.642500,4.777500,4.548256,38766800
2014-07-10,4.687500,4.772500,4.650000,4.752500,4.524456,26630800
2014-07-11,4.757500,4.777500,4.740000,4.762500,4.533974,19118800
2014-07-14,4.782500,4.835000,4.765000,4.822500,4.591098,27263600
2014-07-15,4.830000,4.855000,4.797500,4.842500,4.610137,39544000
2014-07-16,4.862500,4.900000,4.810000,4.837500,4.605378,31972800
2014-07-17,4.782500,4.875000,4.782500,4.825000,4.593475,32483200
2014-07-18,4.725000,4.762500,4.602500,4.610000,4.388793,56781600
2014-07-21,4.592500,4.670000,4.592500,4.637500,4.414973,24336400
2014-07-22,4.672500,4.697500,4.607500,4.617500,4.395933,29881600
2014-07-23,4.620000,4.622500,4.515000,4.520000,4.303111,29735200
2014-07-24,4.545000,4.557500,4.495000,4.527500,4.310251,25457600
2014-07-25,4.512500,4.522500,4.440000,4.447500,4.234089,26613200
2014-07-28,4.467500,4.467500,4.355000,4.430000,4.217431,33035200
2014-07-29,4.432500,4.505000,4.430000,4.445000,4.231710,21797200
2014-07-30,4.472500,4.532500,4.460000,4.520000,4.303111,24618400
2014-07-31,4.465000,4.500000,4.367500,4.375000,4.165069,40188000
2014-08-01,4.375000,4.447500,4.360000,4.422500,4.210290,21988400
2014-08-04,4.417500,4.455000,4.390000,4.412500,4.200769,24172400
2014-08-05,4.400000,4.480000,4.362500,4.415000,4.203151,29813600
2014-08-06,4.385000,4.465000,4.352500,4.410000,4.198390,22345600
2014-08-07,4.447500,4.487500,4.335000,4.365000,4.155549,40769600
2014-08-08,4.555000,4.775000,4.555000,4.750000,4.522075,89434800
2014-08-11,4.755000,4.775000,4.712500,4.725000,4.498275,34462400
2014-08-12,4.722500,4.750000,4.672500,4.725000,4.498275,29615200
2014-08-13,4.732500,4.792500,4.702500,4.752500,4.524456,25659600
2014-08-14,4.770000,4.770000,4.680000,4.700000,4.474473,25599200
2014-08-15,4.715000,4.787500,4.670000,4.760000,4.531597,36979600
2014-08-18,4.780000,4.830000,4.732500,4.825000,4.593475,28407600
2014-08-19,4.805000,4.867500,4.787500,4.842500,4.630531,24826000
2014-08-20,4.825000,4.847500,4.800000,4.812500,4.601843,22146800
2014-08-21,4.800000,4.825000,4.760000,4.767500,4.558814,27279600
2014-08-22,4.762500,4.810000,4.732500,4.770000,4.561203,25122400
2014-08-25,4.790000,4.822500,4.767500,4.777500,4.568377,15338000
2014-08-26,4.790000,4.872500,4.772500,4.862500,4.649653,26963600
2014-08-27,4.832500,4.870000,4.800000,4.807500,4.597063,18297200
2014-08-28,4.797500,4.857500,4.782500,4.847500,4.635310,17970400
2014-08-29,4.865000,4.872500,4.812500,4.862500,4.649653,20793200
2014-09-02,4.875000,4.875000,4.830000,4.875000,4.661607,19263600
2014-09-03,4.900000,4.937500,4.867500,4.920000,4.704638,25945600
2014-09-04,4.912500,5.037500,4.910000,5.007500,4.788307,49183200
2014-09-05,5.002500,5.025000,4.960000,4.992500,4.773962,25379200
2014-09-08,4.987500,4.997500,4.927500,4.947500,4.730935,31928800
2014-09-09,4.925000,4.957500,4.880000,4.885000,4.671170,19858800
2014-09-10,4.912500,4.920000,4.857500,4.902500,4.687904,17237600
2014-09-11,4.867500,4.885000,4.800000,4.852500,4.640092,25072000
2014-09-12,4.882500,4.882500,4.775000,4.780000,4.570766,26253600
2014-09-15,4.795000,4.802500,4.695000,4.715000,4.508611,29415200
2014-09-16,4.702500,4.810000,4.687500,4.785000,4.575547,21993600
2014-09-17,4.772500,4.832500,4.750000,4.787500,4.577938,17358400
2014-09-18,4.817500,4.865000,4.802500,4.860000,4.647265,21960400
2014-09-19,4.875000,4.880000,4.762500,4.770000,4.561203,60131600
