Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,74.589996,75.059998,74.459999,74.489998,48.853535,3001700
2014-05-01,74.599998,74.779999,73.720001,74.580002,48.912563,2267600
2014-05-02,74.250000,74.250000,72.480003,72.860001,47.784515,4505100
2014-05-05,72.860001,73.599998,72.760002,73.519997,48.217373,2776800
2014-05-06,73.260002,73.559998,72.860001,73.070000,47.922260,2847200
2014-05-07,73.120003,73.910004,72.910004,73.820000,48.414120,2520200
2014-05-08,73.769997,73.769997,72.589996,72.839996,47.771400,3008600
2014-05-09,72.820000,73.040001,71.839996,71.980003,47.207386,3813600
2014-05-12,72.209999,72.339996,71.559998,71.760002,47.063080,3618000
2014-05-13,72.019997,72.220001,71.550003,71.720001,47.036865,3120000
2014-05-14,71.139999,71.720001,70.849998,71.269997,47.255657,2578600
2014-05-15,71.410004,72.199997,71.320000,71.379997,47.328606,2668100
2014-05-16,71.320000,71.620003,71.059998,71.349998,47.308704,2023300
2014-05-19,71.260002,71.379997,69.949997,70.300003,46.612526,3489800
2014-05-20,70.389999,70.800003,69.730003,70.089996,46.473251,2656200
2014-05-21,70.250000,70.389999,69.779999,69.930000,46.367184,1885300
2014-05-22,70.010002,70.639999,70.010002,70.550003,46.778259,1834700
2014-05-23,70.449997,70.930000,70.239998,70.279999,46.599236,1523300
2014-05-27,71.059998,71.260002,70.430000,70.459999,46.718590,2299100
2014-05-28,70.480003,70.919998,70.449997,70.760002,46.917530,2230100
2014-05-29,70.900002,70.980003,70.370003,70.930000,47.030239,1817700
2014-05-30,70.739998,71.110001,70.410004,71.080002,47.129688,2531000
2014-06-02,70.949997,71.150002,70.610001,70.849998,46.977192,1919200
2014-06-03,70.830002,70.900002,70.269997,70.699997,46.877720,2420400
2014-06-04,70.599998,71.040001,70.410004,71.010002,47.083279,1998200
2014-06-05,70.870003,71.849998,70.790001,71.730003,47.560673,2472900
2014-06-06,71.709999,71.940002,71.250000,71.339996,47.302082,2145200
2014-06-09,71.129997,71.260002,70.599998,70.860001,46.983810,2299600
2014-06-10,70.699997,71.040001,70.419998,70.510002,46.751747,2362500
2014-06-11,70.389999,70.589996,69.589996,69.629997,46.168251,3554400
2014-06-12,69.620003,70.739998,68.809998,70.580002,46.798161,4287000
2014-06-13,70.430000,70.989998,70.050003,70.830002,46.963924,2599900
2014-06-16,71.110001,71.820000,70.809998,71.120003,47.156204,2666000
2014-06-17,70.839996,70.889999,70.250000,70.709999,46.884354,2325700
2014-06-18,70.680000,72.430000,70.580002,72.410004,48.011547,3447500
2014-06-19,72.480003,73.400002,71.360001,73.230003,48.555252,4881800
2014-06-20,73.269997,73.320000,72.220001,72.320000,47.951870,4002400
2014-06-23,72.389999,72.510002,71.820000,72.349998,47.971752,2527700
2014-06-24,72.389999,72.570000,72.190002,72.360001,47.978405,2350700
2014-06-25,72.220001,73.110001,72.120003,73.040001,48.429260,2983300
2014-06-26,72.900002,73.209999,72.750000,73.169998,48.515453,2259000
2014-06-27,72.889999,73.879997,72.720001,73.699997,48.866879,2173700
2014-06-30,73.769997,74.389999,73.540001,74.190002,49.191784,2854400
2014-07-01,74.199997,74.239998,73.510002,73.629997,48.820473,1998700
