id,data_type,daily_seasonality,weekly_seasonality,noise (high 30% - low 10%),trend,cyclic_period (3 months),data_size,percentage_outliers,percentage_missing,freq
1.csv,multiplicative,no,exist,small,exist,exist,120,0.05,0.05,10T
2.csv,multiplicative,no,exist,small,exist,exist,330,0.05,0.05,1H
3.csv,multiplicative,no,exist,small,exist,exist,90,0.05,0.05,8H
4.csv,multiplicative,no,exist,small,exist,exist,90,0.05,0.05,10T
5.csv,multiplicative,no,exist,small,exist,exist,60,0.05,0.05,30T
6.csv,multiplicative,no,exist,small,exist,exist,300,0.05,0.05,8H
7.csv,multiplicative,no,exist,small,exist,exist,60,0.05,0.05,6H
8.csv,multiplicative,no,exist,small,exist,exist,330,0.05,0.05,30T
9.csv,multiplicative,no,exist,small,exist,exist,240,0.05,0.05,10T
10.csv,multiplicative,no,exist,small,exist,exist,90,0.05,0.05,6H
11.csv,multiplicative,no,exist,small,exist,exist,210,0.05,0.05,6H
12.csv,multiplicative,no,exist,small,exist,exist,180,0.05,0.05,10T
13.csv,multiplicative,no,exist,small,exist,exist,180,0.05,0.05,8H
14.csv,multiplicative,no,exist,small,exist,exist,180,0.05,0.05,30T
15.csv,multiplicative,no,exist,small,exist,exist,240,0.05,0.05,1D
16.csv,multiplicative,no,exist,small,exist,exist,300,0.05,0.05,1D
17.csv,additive,no,exist,small,exist,exist,180,0.05,0.05,6H
18.csv,additive,no,exist,small,exist,exist,300,0.05,0.05,1H
19.csv,additive,no,exist,small,exist,exist,365,0.05,0.05,10T
20.csv,additive,no,exist,small,exist,exist,330,0.05,0.05,30T
21.csv,additive,no,exist,small,exist,exist,330,0.05,0.05,1D
22.csv,additive,no,exist,small,exist,exist,330,0.05,0.05,6H
23.csv,additive,no,exist,small,exist,exist,365,0.05,0.05,6H
24.csv,additive,no,exist,small,exist,exist,90,0.05,0.05,1D
25.csv,additive,no,exist,small,exist,exist,210,0.05,0.05,1D
26.csv,additive,no,exist,small,exist,exist,240,0.05,0.05,1D
27.csv,additive,no,exist,small,exist,exist,300,0.05,0.05,10T
28.csv,additive,no,exist,small,exist,exist,60,0.05,0.05,1D
29.csv,additive,no,exist,small,exist,exist,150,0.05,0.05,10T
30.csv,additive,no,exist,small,exist,exist,300,0.05,0.05,1H
31.csv,additive,no,exist,small,exist,exist,120,0.05,0.05,30T
32.csv,additive,no,exist,small,exist,exist,365,0.05,0.05,10T
33.csv,multiplicative,no,exist,small,exist,exist,60,0.05,0.05,1D
34.csv,multiplicative,no,exist,small,exist,exist,365,0.05,0.05,8H
35.csv,multiplicative,no,exist,small,exist,exist,365,0.05,0.05,8H
36.csv,multiplicative,no,exist,small,exist,exist,60,0.05,0.05,10T
37.csv,multiplicative,no,exist,small,exist,exist,90,0.05,0.05,10T
38.csv,multiplicative,no,exist,small,exist,exist,60,0.05,0.05,1D
39.csv,multiplicative,no,exist,small,exist,exist,300,0.05,0.05,10T
40.csv,multiplicative,no,exist,small,exist,exist,365,0.05,0.05,8H
41.csv,multiplicative,no,exist,small,exist,exist,270,0.05,0.05,8H
42.csv,multiplicative,no,exist,small,exist,exist,365,0.05,0.05,8H
