model,hyperparameters,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,15551,3111,3110,0.4,5.099366319,4.823151125,5.659163987,0.341484445,5.099366319,4.823151125,5.659163987,0.341484445,3,2,1,0.166666667,1.054088784,0.024267759,4.52898264,1.02124008,4.753146574,0.116613907,24.27304677,6.738705432,1.0,1,1,0,0.6,0,1,0.489897949,2.2,2,3,0.4,3.0,3,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.047122144,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6888888888888889, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,7126,1426,1425,0.4,5.150119338,4.49122807,5.614035088,0.417309151,5.150119338,4.49122807,5.614035088,0.417309151,6,5,1,1.0,1.786467694,8.71e-06,4.454670284,0.615334174,8.540551605,1.192416632,23.83084974,4.052615494,1.0,1,1,0,5.2,5,6,0.4,5.4,5,6,0.489897949,6.0,6,6,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.103788565,0,0,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,11661,2333,2332,0.4,5.042433163,4.331046312,5.360205832,0.364237629,5.042433163,4.331046312,5.360205832,0.364237629,6,5,1,0.166666667,0.884747968,0.001502392,3.785461351,0.627772855,4.345065495,0.69213958,19.32523528,3.029548369,1.0,1,1,0,1.2,0,5,1.939071943,5.4,5,6,0.489897949,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.058415603,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,2591,519,518,0.4,4.86307943,3.667953668,6.563706564,1.032097296,4.86307943,3.667953668,6.563706564,1.032097296,4,4,0,0.5,0.749172262,0.022526601,4.101840632,0.795267466,3.376416934,0.154897252,21.87846391,4.58332859,0.0,0,0,0,0.4,0,1,0.489897949,3.0,3,3,0.0,3.4,3,4,0.489897949,2,2,2,0,0,0,0,0,0,0,0,0,0.123750076,0,0,0.0
Lasso,"{'alpha': 0.00013675241327079383, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,14256,2852,2851,0.4,5.02244236,4.384426517,5.471764293,0.369415546,5.02244236,4.384426517,5.471764293,0.369415546,6,5,1,0.5,1.3974408,0.03524924,2.95338538,0.31033666,4.765487336,0.460878564,11.32451367,1.677321138,1.0,1,1,0,5.0,5,5,0.0,5.2,5,6,0.4,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.084524224,0,0,0.0
Lasso,"{'alpha': 0.8618699128061654, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,31101,6221,6220,0.4,4.99984494,4.822375824,5.530546624,0.269124609,4.99984494,4.822375824,5.530546624,0.269124609,6,5,1,0.166666667,2.396387961,0.063087786,4.528361843,0.392001735,10.72587798,0.958035545,24.93357735,3.672431192,1.0,1,1,0,4.4,1,6,1.743559577,5.2,5,6,0.4,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.031279454,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,23326,4666,4665,0.4,4.93441369,4.800685812,5.316184352,0.19302061,4.93441369,4.800685812,5.316184352,0.19302061,5,4,1,0.166666667,1.950004783,0.088906011,4.492383669,0.003079041,9.830248873,0.615440058,23.97985515,0.050995649,1.0,1,1,0,2.6,1,5,1.959591794,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.048457713,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,7776,1556,1555,0.4,5.105464585,4.372990354,6.173633441,0.594528368,5.105464585,4.372990354,6.173633441,0.594528368,3,2,1,0.5,2.595864279,0.358724342,5.230576206,0.000533266,13.16725454,0.709240686,34.74205201,0.000910063,1.0,1,1,0,2.2,1,3,0.979795897,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.06697749,0,0,0.673011667
Lasso,"{'alpha': 0.0003270242804522918, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,6480,1296,1296,0.0,4.984567901,4.475308642,5.787037037,0.443521848,4.984567901,4.475308642,5.787037037,0.443521848,6,5,1,1.0,1.272555665,0.002294512,2.915190642,0.352595178,6.348241948,0.198141819,14.87733159,1.9746389,1.0,1,1,0,4.2,2,5,1.166190379,5.0,5,5,0.0,6.0,6,6,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.078089157,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.9222222222222223, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,47301,9461,9460,0.4,5.023158832,4.587252933,5.380549683,0.255743249,5.023158832,4.587252933,5.380549683,0.255743249,6,5,1,0.166666667,1.857933556,0.021092555,3.18017893,0.516566218,9.450456123,0.465517534,16.81100378,2.462181342,1.0,1,1,0,5.0,5,5,0.0,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.023288403,0,0,0.0
