Model,Parameters
Lasso,"alpha=1e-05, selection=cyclic"
Lasso,"alpha=1e-05, selection=random"
Lasso,"alpha=1.52333050070436e-05, selection=cyclic"
Lasso,"alpha=1.52333050070436e-05, selection=random"
Lasso,"alpha=2.3205358143762008e-05, selection=cyclic"
Lasso,"alpha=2.3205358143762008e-05, selection=random"
Lasso,"alpha=3.534942984016097e-05, selection=cyclic"
Lasso,"alpha=3.534942984016097e-05, selection=random"
Lasso,"alpha=5.3848864658026056e-05, selection=cyclic"
Lasso,"alpha=5.3848864658026056e-05, selection=random"
Lasso,"alpha=8.202961796187215e-05, selection=cyclic"
Lasso,"alpha=8.202961796187215e-05, selection=random"
Lasso,"alpha=0.00012495821900244632, selection=cyclic"
Lasso,"alpha=0.00012495821900244632, selection=random"
Lasso,"alpha=0.0001903526663201216, selection=cyclic"
Lasso,"alpha=0.0001903526663201216, selection=random"
Lasso,"alpha=0.0002899700224958411, selection=cyclic"
Lasso,"alpha=0.0002899700224958411, selection=random"
Lasso,"alpha=0.00044172017955784455, selection=cyclic"
Lasso,"alpha=0.00044172017955784455, selection=random"
Lasso,"alpha=0.0006728858222970712, selection=cyclic"
Lasso,"alpha=0.0006728858222970712, selection=random"
Lasso,"alpha=0.0010250274965966635, selection=cyclic"
Lasso,"alpha=0.0010250274965966635, selection=random"
Lasso,"alpha=0.0015614556496263334, selection=cyclic"
Lasso,"alpha=0.0015614556496263334, selection=random"
Lasso,"alpha=0.0023786130165729343, selection=cyclic"
Lasso,"alpha=0.0023786130165729343, selection=random"
Lasso,"alpha=0.0036234137575179596, selection=cyclic"
Lasso,"alpha=0.0036234137575179596, selection=random"
Lasso,"alpha=0.005519656693498899, selection=cyclic"
Lasso,"alpha=0.005519656693498899, selection=random"
Lasso,"alpha=0.008408261394623858, selection=cyclic"
Lasso,"alpha=0.008408261394623858, selection=random"
Lasso,"alpha=0.012808561040325515, selection=cyclic"
Lasso,"alpha=0.012808561040325515, selection=random"
Lasso,"alpha=0.019511671702861427, selection=cyclic"
Lasso,"alpha=0.019511671702861427, selection=random"
Lasso,"alpha=0.029722724624699017, selection=cyclic"
Lasso,"alpha=0.029722724624699017, selection=random"
Lasso,"alpha=0.04527753298484056, selection=cyclic"
Lasso,"alpha=0.04527753298484056, selection=random"
Lasso,"alpha=0.06897264699245541, selection=cyclic"
Lasso,"alpha=0.06897264699245541, selection=random"
Lasso,"alpha=0.10506813687792228, selection=cyclic"
Lasso,"alpha=0.10506813687792228, selection=random"
Lasso,"alpha=0.16005349755831957, selection=cyclic"
Lasso,"alpha=0.16005349755831957, selection=random"
Lasso,"alpha=0.2438143745749995, selection=cyclic"
Lasso,"alpha=0.2438143745749995, selection=random"
Lasso,"alpha=0.3714098733002543, selection=cyclic"
Lasso,"alpha=0.3714098733002543, selection=random"
Lasso,"alpha=0.5657799882610194, selection=cyclic"
Lasso,"alpha=0.5657799882610194, selection=random"
Lasso,"alpha=0.8618699128061654, selection=cyclic"
Lasso,"alpha=0.8618699128061654, selection=random"
Lasso,"alpha=1.3129127258170419, selection=cyclic"
Lasso,"alpha=1.3129127258170419, selection=random"
Lasso,"alpha=2.0, selection=cyclic"
Lasso,"alpha=2.0, selection=random"
SVR,"kernel=linear, C=1, epsilon=0.01"
SVR,"kernel=linear, C=1, epsilon=0.05"
SVR,"kernel=linear, C=1, epsilon=0.1"
SVR,"kernel=linear, C=2, epsilon=0.01"
SVR,"kernel=linear, C=2, epsilon=0.05"
SVR,"kernel=linear, C=2, epsilon=0.1"
SVR,"kernel=linear, C=3, epsilon=0.01"
SVR,"kernel=linear, C=3, epsilon=0.05"
SVR,"kernel=linear, C=3, epsilon=0.1"
SVR,"kernel=linear, C=5, epsilon=0.01"
SVR,"kernel=linear, C=5, epsilon=0.05"
SVR,"kernel=linear, C=5, epsilon=0.1"
SVR,"kernel=linear, C=10, epsilon=0.01"
SVR,"kernel=linear, C=10, epsilon=0.05"
SVR,"kernel=linear, C=10, epsilon=0.1"
SVR,"kernel=rbf, C=1, epsilon=0.01"
SVR,"kernel=rbf, C=1, epsilon=0.05"
SVR,"kernel=rbf, C=1, epsilon=0.1"
SVR,"kernel=rbf, C=2, epsilon=0.01"
SVR,"kernel=rbf, C=2, epsilon=0.05"
SVR,"kernel=rbf, C=2, epsilon=0.1"
SVR,"kernel=rbf, C=3, epsilon=0.01"
SVR,"kernel=rbf, C=3, epsilon=0.05"
SVR,"kernel=rbf, C=3, epsilon=0.1"
